id,title,genres,keywords,tagline,overview,cast,director,language
1763,Shivudu Shivudu Shivudu,Drama,,,"Sivudu Sivudu Sivudu is action drama based movie in which, Chiranjeevi is a downtrodden villager named Sivudu who just wants to live along in his small world with his lady love (radhika) but falls as prey to the oppressors who are wealthy and powerful who beat him almost to death and kill his lover.He is rescued by a Guru (Jaggaiah) who trains him like a soldier and names him Shivudu to fight the Diwan ( RaoGopalrao) under the Jamindar (Gollapudi) and his tyrannic daughter (Radhika in dual role) who thinks she has Blue Blood.Sivudu’s aim is to rescue the villagers from a secret place where they all are help captive and also get rid of Diwan and restore peace.Radhika later learns that she is the daughter of a servant but not of Jamindar and falls for Sivudu.The rest of story is about how all ends well.",Chiranjeevi Radikaa Sarathkumar Rao Gopal Rao Kongara Jaggayya Gollapudi Maruti Rao,A. Kodandarami Reddy,te
1764,Mahanandi,Action,,,"A henchman, Shankar, is torn between his loyalty for his powerful leader and the love of the latter's sister.",Sumanth Anushka Shetty Srihari Suman Talwar Sai Kiran,V. Samudra,te
1765,Gandhi Tatha Chettu,Drama Family,,,"A young girl's non-violent campaign to protect her grandfather's beloved tree from demolition, is inspired by Gandhi's philosophy of peaceful resistance.",Sukriti Veni Chakrapani Ananda Rag Mayur Bhanu Prakash Kothala,Padmavathi Malladi,te
1766,Naalo Unna Prema,Romance,,,A young man from Hyderabad is a fan of a professional singer from Vizag. The singer's younger sister plays a practical joke with him by replying to his fan letters as the singer herself; over a period of time she falls in love with him.,Jagapati Babu Laya Gajala M. S. Narayana Giri Babu,VR Pratap,te
1767,State Rowdy,Drama Action Crime,,,"An aspiring police officer changes the course of his life when he is unable to achieve his dream due to dirty politics. Then, he turns into an outlaw and decides to eliminate crime on his own.",Chiranjeevi Bhanupriya Radha Jyothi Lakshmi Jayamalini,B. Gopal,te
1768,M Dharmaraju M.A.,Drama,,,"A son, after coming to know that his father is an evil personified, eliminates him with his own hands.",Mohan Babu Rambha Surabhi Kaikala Satyanarayana Sujatha,Ravi Raja Pinisetty,te
1769,Happy Ending,Romance Comedy,,,"A 14 year old boy gets cursed by a Godman because of a misunderstanding. When he grows up, his life changes again when he meets a girl.",Yash Puri Ajay Ghosh Apoorva Rao,Kowshik Bheemidi,te
1770,Rush,Action Crime,,,"Set in the backdrop of a single day, A retired Police officer goes on a journey to fight against a world of odds to safeguard her family and bring back her husband from falling prey to one of the least known yet a burning scam.",Daisy Bopanna Ravi Babu Karthik Prasad Ahuti Yadagiri Rodda Bhel Prasad,Sathish Poloju,te
1771,Nenu Meeku Baaga Kavalsinavaadini,Romance Comedy,,,"Teju, a software employee, once a Princess & Sweetheart of her family, is now an alcoholic and stays alone. Vivek, a driver, enters her life; he saves her from goons who try to take advantage of her intoxicated state. How did Teju’s life change after meeting Vivek?",Kiran Abbavaram Sanjana Anand Siddharth Menon Soonuu Thakur S.V. Krishna Reddy,Sridhar Gade,te
1772,Nakshatra Poratam,Action Drama,,,"Nakshtra Poratam is a 1993 Indian Telugu film, directed by Sagar produced by T R Tulasi. The film stars Suman and Roja in lead roles. Music of the film was composed by Raj Koti.",Suman Talwar C. Arun Pandian Bhanuchander Aamani Roja Selvamani,Sagar,te
1773,Jagadeka Veerudu,Drama,,,,Soundarya Krishna Brahmanandam,Sagar,te
1774,Saptagiri Express,Comedy,,,"Sapthagiri is a happy go lucky aspiring actor, who is forced to take up his father's job only to find out that his father's death was a planned murder. Now it lies in the hands of ...",Mahesh Achanta Posani Krishna Murali Siva Prasad Saptagiri Shakalaka Shankar,Arun Pawar,te
1775,AATMA RAAVE,Horror Thriller,ouija board survival horror aatmaraave,,"3 friends play ouija board, spirit game to make a youtube video but one of the friends get terrified and shocked when the spirit comes for true.",PVN KARTHIKEYA pradeep lallu navya,PVN KARTHIKEYA,te
1776,Papam Pasivadu,Adventure Drama Thriller,,,"Venugopal and Janaki realise that their son has tuberculosis and send him by plane to Europe for better treatment. However, the plane crashes, and the boy faces trouble reuniting with his parents.",S. V. Ranga Rao Devika Nagesh Suryakantham Chhaya Devi,V. Ramachandra Rao,te
1777,Malle Pandiri,Romance Comedy,,Hasya Brahma film,A story about a 35-year-old bachelor.,Vijji Babu Jyothi S. P. Balasubramaniam,Jandhyala Subramanya Sastry,te
1778,Devatha,Drama,,,Janaki (Jayaprada) and Lalita (Sridevi) are sisters who love each other dearly. They both love Shobhan babu....,Jaya Prada Sridevi Sobhan Babu Mohan Babu,,te
1779,Bava Bavamaridi,Drama,,,Story of a man and his brother-in-law,Krishnam Raju Suman Talwar Malashri Jayasudha Ravi Mohan,Sarath,te
1780,Posani Gentleman,Comedy,,,A 2009 Indian Telugu comedy film starring Posani Krishna Murali and Aarthi Agarwal.,Posani Krishna Murali Aarthi Agarwal Brahmanandam Vakil Khan M. S. Narayana,Posani Krishna Murali,te
1781,Panchathantram,Comedy Drama Family,,,"Veda Vyas Murthy is a retired All India Radio announcer whose daughterwants him not to work any longer. When a publishing house announces a story-narration contest, Veda Vyas' interest to tell stories gets kindled. He narrates five different stories with the theme of five senses: Sight, Smell, Sound, Taste, and Touch.",Brahmanandam Swathi Reddy Samuthirakani Rahul Vijay Shivathmika,Harsha Pulipaka,te
1782,Aalapana,Drama,,,"A classical dancer, known for her perfection and grace in dance is appreciated by her tutor as well as friends. An evil man with lustful intentions tries to hold the woman captive, but she manages to escape from his clutches. She moves to a different village and starts afresh. Will she be able to get rid of her past?",Bhanupriya Mohan Kaikala Satyanarayana Somayajulu J V Pradeep Shakti,Vamsy,te
1783,Kannayya Kittayya,Fantasy Comedy,,,"Kittaiah, a simple villager, loves his cousin Saroja, but his maternal uncle disapproves of Kittaiah. Dejected, Kittaiah pleads with Lord Krishna to help him.",Rajendra Prasad Shobana Aamani Brahmanandam,Narasimha Rao Relangi,te
1784,Eight,Thriller Comedy,illusion,,An Illusion thriller.,Saptagiri Sneha Ullal Sonia Agarwal,Suryas,te
1785,Idhi Naadhi,Horror Thriller,haunted house astral projection,,"Horror, Thriller Directed by BL Prasad",Nisar Khan Amrita Halder Alisha Andrade Suman Talwar Dev Gill,BL Prasad,te
1786,Idhi Maa Ashokgaadi Love Story,,,,"Film starring Siva Balaji, Kanchi Kaul and Swetha Agarwal",Siva Balaji Kanchi Kaul Shweta Agarwal Manoj Biddvai Chandramohan,Suresh Krishna,te
1787,Snehituda,Romance Drama,,,"Sayi and Savithri who are initially at loggerheads but eventually turn out to be the best of friends. However, when their bond goes through a bumpy ride will their friendship sustain?",Nani Madhavi Latha Nassar Brahmanandam Tanikella Bharani,Satyam Bellamkonda,te
1788,Deyyam,,,,This film explores the competing strengths of a father's love and an evil spirit's will to possess.,Dr. Rajasekhar,Ram Gopal Varma,te
1789,Amaran in the City: Chapter 1,,,,A Police sub-inspector and an investigative journalism student get into a situation to solve the mystery of  suicides and missing girls.,Aadi Saikumar Avika Gor Sai Kumar Pavitra Lokesh Krishnudu,S. Balaveer,te
1790,Cauliflower,Comedy Fantasy,,,"Cauliflower is a 35-year-old Britisher who goes by the strict philosophies set by his grandfather,comes to India. One fine day, he gets raped by three girls and things change upside down for him. Upset with the rape, he files a case and seeks justice.",Sampoornesh Babu Vasanthi Krishnan Posani Krishna Murali Mahesh Achanta Gautam Raju,R. K. Malineni,te
1791,Rama Rajyamlo Bheermaraju,Action,,,Krishna is a rich guy goes out act as a poor soul to help common man and helps Sridevi's family,Krishna Sridevi Rao Gopal Rao Kaikala Satyanarayana Rajendra Prasad,,te
1792,Ammoru,Horror Fantasy,,,"Bhavani, a devotee of Goddess Amman, gets an evil godman arrested. However, when he returns with the intention of exacting revenge on her, she turns to the goddess for guidance.",Soundarya Ramya Krishnan Suresh Rami Reddy Vadivukarasi,Kodi Ramakrishna,te
1793,Rowdy Gari Pellam,Drama Family,,,,Shobana Mohan Babu Narra Venkateswara Rao Kota Srinivasa Rao Prasad Babu,K. S. Prakash Rao,te
1794,Bhakta Tukaram,Drama,,,The story of this film is based on the life story of a prominent saint Tukaram.,Nageshwara Rao Akkineni Anjali Devi Sivaji Ganesan Kanchana,V. Madhusudhan Rao,te
1795,Donga,Action Drama Horror,,,"Donga is action drama based movie in which, Phani (Chiranjeevi) who commits thefts just to help the poor. He loves Kodandaramayya’s daughter Manju Latha (Radha). But seeks revenge against Kodandaramayya for killing his father. He also wants his sister Malathi to get married to Rajesh, son of Anjaneyulu. But he needs Rs.50,000 for dowry. At the same time Vishwanatham, an income tax officer, also wants to perform his sister Rekha’s marriage with Rajesh. But,Phani succeeds with the help of the police in liquidating the gang of Kodandaramayya and has his revenge.",Chiranjeevi Radha Rao Gopal Rao Nutan Prasad Kaikala Satyanarayana,A. Kodandarami Reddy,te
1796,Seetharamaiah Gari Manavaralu,,,,"Sitaramayya shares an estranged relationship with his son and daughter-in-law, who die in a road accident. Sitaramayya, still in anger, accepts his grand-daughter as his son's last memory.",Nageshwara Rao Akkineni Meena Rohini Hattangadi Kota Srinivasa Rao Tanikella Bharani,Kranthi Kumar,te
1797,Manu,Mystery Romance Thriller,painter,,"The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge.",Raja Goutham Chandini Chowdary Aberaam Varma Mohan Bhagath Bomma Sridhar,Phanindra Narsetti,te
1798,Tungabhadra,Drama,,,Sai Korrapati who has not only produced big films like Eega and Legend has also made few small movies with different themes. Coming from his production house Tungabhadra caught the attention of Telugu movie lovers.,Thrigun Dimple Chopade Charandeep Sathyaraj Kota Srinivasa Rao,Srinivasa Krishna,te
1799,Lorry Driver,Drama,,,"Ranganayakulu exploits his employees while framing them in various illegal cases. However, Balamurali, a lorry driver, decides to fight against him with the help of an IAS officer, Lalitha Devi.",Nandamuri Balakrishna Vijayashanti Brahmanandam Hema Sharada,B. Gopal,te
1800,Back Door,Thriller Drama,extramarital affair,,Anjali meets Arun at a marriage and there is instant attraction between them. Will she choose to be a loyal wife or satisfy her desires by crossing the confines of the marriage?,Poorna Teja Tripurana,Karri Balaji,te
1801,Naked,Romance Drama,,,Story of a married couple in whose house a servant boy works. The couple are constantly fighting and on the verge of a break-up and then one day something happens which puts all 3 of them through a dizzying tension.,Sweety Muni Deepak,Ram Gopal Varma,te
1802,Sandade Sandadi,,,,"Three friends vexed with their wives try to commit suicide, but end up saving a businessman. He then seeks their help to put his wayward daughters on the right track. But do things go as planned?",Jagapati Babu Rajendra Prasad Sivaji Sontineni Urvashi Raasi,Muppalaneni Shiva,te
1803,Ninnu Choodalani,Romance Drama,,Soul of Strange Love,"Two businessmen, Siva Reddy and Sahadeva Reddy, are sworn enemies. Things take a turn when their grandchildren, Venu and Siri, fall in love with each other.",N.T. Rama Rao Jr. Raveena Rajput K. Viswanath Kaikala Satyanarayana Sudhakar,V. R. Prathap,te
1804,Vidhi,Crime Thriller,,,"Surya, an innocent young man is burdened by financial struggles and injustice, discovers a mysterious pen with a secret. He must acrefully navigate through the blurred lines between revenge and righteousness.",Rohit Nanda Anandhi Mahesh Achanta Meesam Suresh,Srikanth Ranganathan,te
1805,Chiru Navvuto,,,,Chirunavvutho is the story about Venu (Venu) who moves to Hyderabad after being dumped by Aruna (Prema). He falls in love with another girl called Sandhya (Shaheen Khan) and proposes to her. Sandhya who is already engaged to another man rejects his proposal. How Venu wins her love is the rest of the story.,Venu Thottempudi Shahin Prakash Raj Brahmanandam Chandramohan,G. Ram Prasad,te
1806,Paramanandayya Sishyula Katha,Comedy History Action,,,"Foreign - Eight unsuspecting people stumble across a bathing woman -- but she's no mere mortal, she is a mighty goddess. The goddess is angry when she learns she's been spied upon and, in a rage, uses her powers to curse the peepers and take away their wisdom. But the only way the poor fools can restore their smarts now is to visit the wizened sage Paramanandaiah -- a man they may no longer know how to find.",N.T. Rama Rao K R Vijaya L. Vijayalakshmi Chittoor V. Nagayya Sobhan Babu,Chittajalu Pullayya,te
1807,Greeku Veerudu,,,,"Film starring Arun Kumar Dasari, Pooja Batra and Brahmanandam",Dasari Arun Kumar Pooja Batra Brahmanandam K Ashok Kumar,,te
